key,value
userid,1688654392.4820733
age,32
gender,2
time,1
genres,213838633
devices,1
scenario_D1,3
scenario_L1,3
scenario_M2,2
scenario_L3,1
scenario_M3,1
scenario_M1,4
scenario_L2,3
scenario_D2,2
scenario_D3,2
scenario_B,3
scenario_M3,1
scenario_D3,2
scenario_L1,4
scenario_D2,2
scenario_D1,5
scenario_L3,1
scenario_M2,2
scenario_M1,5
scenario_L2,4
