key,value
userid,1688635939.8326774
age,27
gender,2
time,3
genres,74481667
devices,13
scenario_L2,2
scenario_M1,2
scenario_M3,2
scenario_D1,4
scenario_D2,3
scenario_L3,1
scenario_M2,2
scenario_D3,4
scenario_L1,4
scenario_B,4
scenario_L3,1
scenario_D1,4
scenario_L2,3
scenario_M1,2
scenario_M3,2
scenario_L1,3
scenario_M2,3
scenario_D3,3
scenario_D2,4
