key,value
userid,1688643237.3342004
age,28
gender,2
time,4
genres,135815426
devices,1
scenario_D3,4
scenario_M1,3
scenario_L3,2
scenario_L1,4
scenario_L2,3
scenario_D1,5
scenario_M2,4
scenario_M3,3
scenario_D2,4
scenario_B,5
scenario_M2,4
scenario_L3,1
scenario_M3,2
scenario_L1,4
scenario_D3,3
scenario_M1,4
scenario_D2,5
scenario_L2,3
scenario_D1,5
