key,value
userid,1688650388.8220592
age,23
gender,2
time,2
genres,1179651
devices,3
scenario_L2,3
scenario_M2,2
scenario_L1,4
scenario_D2,3
scenario_D3,2
scenario_L3,2
scenario_M3,3
scenario_M1,4
scenario_D1,4
scenario_B,5
scenario_L2,4
scenario_M3,2
scenario_L3,2
scenario_L1,3
scenario_D1,4
scenario_D2,4
scenario_M2,3
scenario_M1,3
scenario_D3,2
