key,value
userid,1688647107.4149675
age,23
gender,2
time,3
genres,240148483
devices,1
scenario_L3,3
scenario_D3,2
scenario_D2,2
scenario_D1,5
scenario_L1,4
scenario_M1,3
scenario_M2,3
scenario_L2,4
scenario_M3,2
scenario_B,5
scenario_L1,3
scenario_L2,3
scenario_D3,1
scenario_D2,4
scenario_L3,2
scenario_M2,4
scenario_M3,1
scenario_M1,3
scenario_D1,5
