key,value
age,28
gender,1
time,4
genres,67190819
devices,5
M2a,2
D2a,5
M3a,3
D1a,5
L2a,1
L1a,2
D3a,3
L3a,1
M1a,3
B,4
M1b,2
D3b,5
D1b,4
L1b,3
M2b,2
L2b,1
M3b,2
L3b,1
D2b,4
