key,value
age,26
gender,1
time,3
genres,1342242898
devices,13
D2a,3
L2a,2
D1a,5
L1a,5
D3a,1
M2a,3
M3a,1
M1a,2
L3a,1
B,5
M1b,3
D2b,4
D3b,4
M3b,1
L1b,4
M2b,4
L2b,3
L3b,1
D1b,5
