key,value
age,29
gender,2
time,2
genres,51396609
devices,2
L1a,4
M2a,2
L3a,1
D3a,3
L2a,4
D1a,5
D2a,5
M1a,1
M3a,2
B,4
L2b,3
D1b,4
L3b,1
M2b,3
M3b,2
M1b,4
L1b,5
D2b,5
D3b,2
