key,value
userid,1688633250.0052965
age,44
gender,1
time,1
genres,67108866
devices,1
scenario_L3,1
scenario_M3,2
scenario_D2,3
scenario_L2,3
scenario_D1,4
scenario_M2,2
scenario_M1,3
scenario_D3,5
scenario_L1,5
scenario_B,5
scenario_L3,1
scenario_M2,3
scenario_D2,5
scenario_L2,2
scenario_M1,2
scenario_M3,1
scenario_D3,5
scenario_D1,5
scenario_L1,2
