key,value
userid,1688650426.255335
age,28
gender,1
time,4
genres,67190819
devices,5
scenario_M2,2
scenario_D2,5
scenario_M3,3
scenario_D1,5
scenario_L2,1
scenario_L1,2
scenario_D3,3
scenario_L3,1
scenario_M1,3
scenario_B,4
scenario_M1,2
scenario_D3,5
scenario_D1,4
scenario_L1,3
scenario_M2,2
scenario_L2,1
scenario_M3,2
scenario_L3,1
scenario_D2,4
