key,value
userid,1688645158.7333357
age,26
gender,2
time,4
genres,5259267
devices,1
scenario_M3,3
scenario_L3,1
scenario_D2,4
scenario_M1,4
scenario_L2,3
scenario_M2,4
scenario_D3,3
scenario_L1,3
scenario_D1,4
scenario_B,5
scenario_L3,1
scenario_M1,4
scenario_D2,4
scenario_L1,3
scenario_M3,2
scenario_L2,4
scenario_D3,2
scenario_D1,5
scenario_M2,4
