key,value
userid,1688652254.3885765
age,29
gender,2
time,2
genres,51396609
devices,2
scenario_L1,4
scenario_M2,2
scenario_L3,1
scenario_D3,3
scenario_L2,4
scenario_D1,5
scenario_D2,5
scenario_M1,1
scenario_M3,2
scenario_B,4
scenario_L2,3
scenario_D1,4
scenario_L3,1
scenario_M2,3
scenario_M3,2
scenario_M1,4
scenario_L1,5
scenario_D2,5
scenario_D3,2
